23:27:30.854 [main] INFO  com.ta.bean.config.MyTypeFilter - --->resourcefile [C:\idea_workspace\springboot-study\spring-annotation\target\classes\com\ta\bean\Person.class]
23:27:30.854 [main] INFO  com.ta.bean.config.MyTypeFilter - --->classNamecom.ta.bean.Person
23:27:30.855 [main] INFO  com.ta.bean.config.MyTypeFilter - 123
23:27:30.855 [main] INFO  com.ta.bean.config.MyTypeFilter - --->annotationMetadataorg.springframework.core.type.classreading.AnnotationMetadataReadingVisitor@7714e963
23:27:30.855 [main] INFO  com.ta.bean.config.MyTypeFilter - --->resourcefile [C:\idea_workspace\springboot-study\spring-annotation\target\classes\com\ta\bean\service\HelloService.class]
23:27:30.856 [main] INFO  com.ta.bean.config.MyTypeFilter - --->classNamecom.ta.bean.service.HelloService
23:27:30.856 [main] INFO  com.ta.bean.config.MyTypeFilter - 123
23:27:30.856 [main] INFO  com.ta.bean.config.MyTypeFilter - --->annotationMetadataorg.springframework.core.type.classreading.AnnotationMetadataReadingVisitor@20ce78ec
23:27:30.856 [main] INFO  com.ta.bean.config.MyTypeFilter - --->resourcefile [C:\idea_workspace\springboot-study\spring-annotation\target\classes\com\ta\bean\service\HelloServiceImpl.class]
23:27:30.856 [main] INFO  com.ta.bean.config.MyTypeFilter - --->classNamecom.ta.bean.service.HelloServiceImpl
23:27:31.011 [main] INFO  MyTest - org.springframework.context.annotation.internalConfigurationAnnotationProcessor
23:27:31.011 [main] INFO  MyTest - org.springframework.context.annotation.internalAutowiredAnnotationProcessor
23:27:31.011 [main] INFO  MyTest - org.springframework.context.annotation.internalRequiredAnnotationProcessor
23:27:31.011 [main] INFO  MyTest - org.springframework.context.annotation.internalCommonAnnotationProcessor
23:27:31.011 [main] INFO  MyTest - org.springframework.context.event.internalEventListenerProcessor
23:27:31.011 [main] INFO  MyTest - org.springframework.context.event.internalEventListenerFactory
23:27:31.011 [main] INFO  MyTest - mainConfig
23:27:31.011 [main] INFO  MyTest - person2
